"Estimated resident population by statistical area, level 2 (SA2), Queensland, 2006 to 2019p",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
SA2 code,SA2 name,As at 30 June,,,,,,,,,,,,,
,,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018r,2019p
,,— persons —,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
301011001,Alexandra Hills,"17,441","17,345","17,257","17,256","17,255","17,308","17,238","17,235","17,175","17,029","16,906","16,906","16,792","16,933"
301011002,Belmont - Gumdale,"7,148","7,337","7,549","7,690","7,682","7,764","7,770","7,799","7,783","7,776","7,748","7,767","7,854","7,943"
301011003,Birkdale,"14,448","14,509","14,505","14,701","14,803","14,914","15,094","15,235","15,307","15,367","15,394","15,614","15,637","15,676"
301011004,Capalaba,"17,528","17,497","17,478","17,464","17,495","17,557","17,675","17,727","17,731","18,044","18,271","18,650","18,773","18,813"
301011005,Thorneside,"3,558","3,560","3,598","3,603","3,615","3,672","3,709","3,754","3,841","3,827","3,884","3,924","3,979","3,967"
301011006,Wellington Point,"10,445","10,620","10,921","11,135","11,254","11,397","11,657","11,759","11,805","11,980","12,097","12,216","12,321","12,322"
301021007,Cleveland,"13,931","14,038","14,343","14,680","14,807","15,033","15,204","15,365","15,467","15,248","15,344","15,500","15,658","15,703"
301021008,Ormiston,"5,582","5,674","5,741","5,805","5,801","5,830","5,909","5,922","5,971","5,997","6,007","6,030","6,088","6,141"
301021009,Redland Bay,"11,056","11,853","12,718","13,275","13,698","14,038","14,423","14,896","15,155","15,544","16,097","16,615","17,249","17,750"
301021011,Sheldon - Mount Cotton,"4,969","5,247","5,600","6,164","6,395","6,706","7,035","7,325","7,662","7,923","8,204","8,490","8,741","8,861"
301021012,Thornlands,"10,770","11,719","12,254","12,791","13,043","13,303","13,611","13,773","14,144","14,421","15,203","15,663","16,350","17,242"
301021013,Victoria Point,"13,992","14,199","14,640","14,861","15,000","15,307","15,369","15,424","15,441","15,470","15,533","15,572","15,619","15,555"
301021527,Redland Islands,"7,040","7,335","7,716","8,124","8,386","8,646","8,795","8,913","9,134","9,257","9,276","9,410","9,618","9,852"
301031014,Brisbane Port - Lytton,7,7,7,8,8,8,8,8,9,9,9,9,9,9
301031015,Manly - Lota,"7,002","7,080","7,159","7,288","7,361","7,436","7,517","7,569","7,600","7,623","7,660","7,736","7,791","7,851"
301031016,Manly West,"10,287","10,390","10,537","10,782","10,915","11,037","11,245","11,374","11,656","11,719","11,830","11,972","12,137","12,145"
301031017,Murarrie,"3,578","3,815","3,995","4,083","4,097","4,152","4,240","4,279","4,301","4,304","4,306","4,377","4,451","4,592"
301031018,Tingalpa,"8,106","8,297","8,461","8,646","8,737","8,843","8,911","8,975","8,999","9,046","9,115","9,150","9,223","9,305"
301031019,Wakerley,"3,983","4,930","5,927","6,833","7,374","7,960","8,296","8,762","9,193","9,366","9,429","9,510","9,576","9,794"
301031020,Wynnum,"11,945","12,168","12,288","12,575","12,715","12,992","13,258","13,463","13,550","13,644","13,757","13,990","14,141","14,466"
301031021,Wynnum West - Hemmant,"13,839","13,933","14,141","14,411","14,699","14,825","15,097","15,272","15,345","15,334","15,333","15,481","15,611","15,738"
302011022,Bald Hills,"6,105","6,299","6,541","7,008","7,143","7,161","7,245","7,418","7,458","7,483","7,531","7,628","7,685","7,780"
302011023,Bridgeman Downs,"7,504","7,581","7,646","7,835","7,924","7,956","8,001","8,172","8,268","8,344","8,495","8,670","8,900","9,153"
302011024,Carseldine,"6,904","7,112","7,329","7,612","7,814","8,077","8,289","8,689","9,046","9,255","9,415","9,586","9,731","10,028"
302011025,Everton Park,"7,911","8,048","8,161","8,416","8,549","8,619","8,770","8,915","9,027","9,120","9,199","9,383","9,605","9,909"
302011026,McDowall,"7,127","7,185","7,232","7,324","7,367","7,391","7,589","7,731","7,799","7,847","7,890","7,915","8,039","8,116"
302021027,Aspley,"12,208","12,439","12,570","12,705","12,784","12,859","12,893","12,830","12,800","12,754","12,760","12,796","12,910","12,960"
302021028,Chermside,"6,496","6,878","7,317","7,742","8,058","8,578","8,763","8,998","9,195","9,364","9,669","9,938","10,259","10,425"
302021029,Chermside West,"6,091","6,100","6,172","6,295","6,383","6,402","6,458","6,479","6,473","6,481","6,489","6,532","6,647","6,786"
302021030,Geebung,"4,300","4,340","4,372","4,408","4,438","4,458","4,510","4,517","4,517","4,518","4,474","4,492","4,511","4,488"
302021031,Kedron - Gordon Park,"12,058","12,135","12,465","12,753","12,942","13,153","13,411","13,584","13,791","14,060","14,312","14,653","14,822","14,961"
302021032,Stafford,"5,663","5,736","5,865","6,026","6,166","6,280","6,393","6,547","6,631","6,758","6,811","6,940","7,056","7,196"
302021033,Stafford Heights,"6,964","6,962","6,954","6,958","6,974","7,003","7,013","7,037","7,043","7,064","7,075","7,145","7,214","7,277"
302021034,Wavell Heights,"9,003","9,184","9,275","9,516","9,663","9,813","9,997","10,101","10,139","10,140","10,167","10,302","10,487","10,685"
302031035,Boondall,"8,765","8,783","8,881","8,948","9,000","9,052","9,131","9,390","9,522","9,585","9,622","9,749","9,835","9,874"
302031036,Brisbane Airport,101,114,129,146,164,182,193,204,204,200,200,200,200,200
302031037,Eagle Farm - Pinkenba,296,296,290,289,289,279,397,519,631,749,852,988,"1,124","1,332"
302031038,Northgate - Virginia,"5,858","5,991","6,179","6,323","6,431","6,594","6,660","6,798","6,837","6,884","6,869","6,850","6,969","7,087"
302031039,Nudgee - Banyo,"7,465","7,673","8,069","8,432","8,707","8,957","9,174","9,426","9,662","9,744","9,950","10,140","10,316","10,584"
302031040,Nundah,"8,570","9,078","9,581","10,133","10,576","10,896","11,275","11,548","11,913","12,349","12,940","13,358","13,776","14,301"
302041041,Bracken Ridge,"15,776","16,154","16,723","17,130","17,344","17,390","17,613","17,642","17,633","17,565","17,579","17,724","17,809","17,825"
302041042,Brighton (Qld),"8,818","8,904","9,038","9,171","9,247","9,357","9,403","9,542","9,664","9,750","9,777","9,855","9,946","10,019"
302041043,Deagon,"3,185","3,288","3,364","3,450","3,498","3,577","3,635","3,690","3,711","3,741","3,770","3,846","3,883","3,996"
302041044,Sandgate - Shorncliffe,"6,639","6,646","6,663","6,702","6,750","6,796","6,856","6,945","7,016","7,028","7,026","6,987","7,024","6,978"
302041045,Taigum - Fitzgibbon,"7,830","8,227","8,499","8,719","8,902","9,250","9,797","10,233","10,934","11,725","12,619","13,279","13,896","14,302"
