Area,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Utah','Lung and Bronchus','2012-2016','Female','23.1','1489','7317015'
'New Mexico','Lung and Bronchus','2012-2016','Female','34.9','2340','5262352'
'California','Lung and Bronchus','2012-2016','Female','38.1','41818','97335962'
'Colorado','Lung and Bronchus','2012-2016','Female','40.4','5949','13326271'
'Hawaii','Lung and Bronchus','2012-2016','Female','36.4','1755','3521558'
'Wyoming','Lung and Bronchus','2012-2016','Female','42.8','740','1425712'
'Alabama','Lung and Bronchus','2012-2016','Female','50.5','8292','12465052'
'Alaska','Lung and Bronchus','2012-2016','Female','48.8','771','1756908'
'Arizona','Lung and Bronchus','2012-2016','Female','44','9592','16885526'
'District of Columbia','Lung and Bronchus','2012-2016','Female','46.1','837','1736346'
'Idaho','Lung and Bronchus','2012-2016','Female','46.3','2213','4074850'
'Nebraska','Lung and Bronchus','2012-2016','Female','50.4','2931','4721807'
'Texas','Lung and Bronchus','2012-2016','Female','43.1','30069','67916809'
'Virginia','Lung and Bronchus','2012-2016','Female','50.6','12901','21120671'
'Florida','Lung and Bronchus','2012-2016','Female','51.3','39610','50981299'
'Georgia','Lung and Bronchus','2012-2016','Female','51.3','14733','25872369'
'Iowa','Lung and Bronchus','2012-2016','Female','54','5601','7811752'
'Kansas','Lung and Bronchus','2012-2016','Female','52.7','4730','7277978'
'Louisiana','Lung and Bronchus','2012-2016','Female','54.2','7747','11865964'
'Maryland','Lung and Bronchus','2012-2016','Female','51.1','9559','15370529'
'Minnesota','Lung and Bronchus','2012-2016','Female','51.8','8740','13703486'
'Nevada','Lung and Bronchus','2012-2016','Female','53.4','4397','7056969'
'New Jersey','Lung and Bronchus','2012-2016','Female','52','15472','22887971'
'New York','Lung and Bronchus','2012-2016','Female','53.2','34896','50865167'
'North Dakota','Lung and Bronchus','2012-2016','Female','51.1','1116','1793047'
'Oregon','Lung and Bronchus','2012-2016','Female','50.9','6699','10035551'
'South Carolina','Lung and Bronchus','2012-2016','Female','52.9','8703','12424461'
'South Dakota','Lung and Bronchus','2012-2016','Female','52.9','1410','2106139'
'Washington','Lung and Bronchus','2012-2016','Female','51.7','10899','17697901'
'Wisconsin','Lung and Bronchus','2012-2016','Female','53.9','10099','14459507'
'Arkansas','Lung and Bronchus','2012-2016','Female','62.6','6185','7548198'
'Connecticut','Lung and Bronchus','2012-2016','Female','55.8','6923','9213772'
'Delaware','Lung and Bronchus','2012-2016','Female','62.6','2059','2410689'
'Illinois','Lung and Bronchus','2012-2016','Female','57','22905','32755288'
'Indiana','Lung and Bronchus','2012-2016','Female','61.3','12706','16712013'
'Kentucky','Lung and Bronchus','2012-2016','Female','77.8','11210','11191487'
'Maine','Lung and Bronchus','2012-2016','Female','66.3','3357','3389572'
'Massachusetts','Lung and Bronchus','2012-2016','Female','59','13290','17385654'
'Michigan','Lung and Bronchus','2012-2016','Female','57.2','19053','25199323'
'Mississippi','Lung and Bronchus','2012-2016','Female','57.4','5463','7681855'
'Missouri','Lung and Bronchus','2012-2016','Female','63.5','12846','15427861'
'Montana','Lung and Bronchus','2012-2016','Female','54.8','1907','2536671'
'New Hampshire','Lung and Bronchus','2012-2016','Female','62.2','2846','3355828'
'North Carolina','Lung and Bronchus','2012-2016','Female','56.7','18272','25517146'
'Ohio','Lung and Bronchus','2012-2016','Female','59.1','23199','29583138'
'Oklahoma','Lung and Bronchus','2012-2016','Female','58','7049','9772031'
'Pennsylvania','Lung and Bronchus','2012-2016','Female','56.2','25923','32658381'
'Rhode Island','Lung and Bronchus','2012-2016','Female','65.7','2404','2716558'
'Tennessee','Lung and Bronchus','2012-2016','Female','61.5','13233','16766244'
'Vermont','Lung and Bronchus','2012-2016','Female','57.2','1287','1582834'
'West Virginia','Lung and Bronchus','2012-2016','Female','67','4586','4666047'
