Area,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Utah','Lung and Bronchus','2012-2016','Male','31.5','1760','7405077'
'New Mexico','Lung and Bronchus','2012-2016','Male','45.5','2577','5157302'
'Arizona','Lung and Bronchus','2012-2016','Male','53.1','10019','16692148'
'California','Lung and Bronchus','2012-2016','Male','47.4','42293','96060625'
'Colorado','Lung and Bronchus','2012-2016','Male','45.6','5686','13435476'
'Wyoming','Lung and Bronchus','2012-2016','Male','46.2','734','1487583'
'District of Columbia','Lung and Bronchus','2012-2016','Male','54.5','760','1567267'
'Hawaii','Lung and Bronchus','2012-2016','Male','57.2','2320','3551965'
'Idaho','Lung and Bronchus','2012-2016','Male','55.6','2357','4089751'
'Minnesota','Lung and Bronchus','2012-2016','Male','61.8','8906','13551220'
'Montana','Lung and Bronchus','2012-2016','Male','55.6','1757','2565676'
'Nevada','Lung and Bronchus','2012-2016','Male','57.6','4305','7136029'
'Oregon','Lung and Bronchus','2012-2016','Male','59.7','6719','9841232'
'Washington','Lung and Bronchus','2012-2016','Male','61.3','11049','17637091'
'Alaska','Lung and Bronchus','2012-2016','Male','64.1','972','1926937'
'Connecticut','Lung and Bronchus','2012-2016','Male','65.6','6499','8768138'
'Florida','Lung and Bronchus','2012-2016','Male','68.3','44686','48767858'
'Kansas','Lung and Bronchus','2012-2016','Male','69.4','5221','7213311'
'Maryland','Lung and Bronchus','2012-2016','Male','63.7','9381','14449363'
'Massachusetts','Lung and Bronchus','2012-2016','Male','66.1','11775','16360759'
'Nebraska','Lung and Bronchus','2012-2016','Male','67.5','3316','4682556'
'New Hampshire','Lung and Bronchus','2012-2016','Male','68.3','2648','3281550'
'New Jersey','Lung and Bronchus','2012-2016','Male','62.2','14284','21789286'
'New York','Lung and Bronchus','2012-2016','Male','67','34119','47901969'
'North Dakota','Lung and Bronchus','2012-2016','Male','65.7','1274','1880306'
'South Dakota','Lung and Bronchus','2012-2016','Male','67.9','1589','2133983'
'Texas','Lung and Bronchus','2012-2016','Male','63.4','36223','66954975'
'Vermont','Lung and Bronchus','2012-2016','Male','68.8','1335','1542290'
'Virginia','Lung and Bronchus','2012-2016','Male','69','14455','20427723'
'Wisconsin','Lung and Bronchus','2012-2016','Male','67.7','10852','14282174'
'Alabama','Lung and Bronchus','2012-2016','Male','87.3','11538','11727994'
'Arkansas','Lung and Bronchus','2012-2016','Male','97.8','8150','7286447'
'Delaware','Lung and Bronchus','2012-2016','Male','78.9','2101','2262903'
'Georgia','Lung and Bronchus','2012-2016','Male','81.2','18558','24617578'
'Illinois','Lung and Bronchus','2012-2016','Male','75.3','24225','31593824'
'Indiana','Lung and Bronchus','2012-2016','Male','88.2','15005','16228921'
'Iowa','Lung and Bronchus','2012-2016','Male','75','6579','7707415'
'Kentucky','Lung and Bronchus','2012-2016','Male','111.3','13221','10859892'
'Louisiana','Lung and Bronchus','2012-2016','Male','84.8','9935','11369677'
'Maine','Lung and Bronchus','2012-2016','Male','83.3','3616','3253426'
'Michigan','Lung and Bronchus','2012-2016','Male','73.2','20353','24352796'
'Mississippi','Lung and Bronchus','2012-2016','Male','99.5','7610','7248119'
'Missouri','Lung and Bronchus','2012-2016','Male','85.3','14240','14858378'
'North Carolina','Lung and Bronchus','2012-2016','Male','84.9','21925','24227583'
'Ohio','Lung and Bronchus','2012-2016','Male','81.1','26089','28353998'
'Oklahoma','Lung and Bronchus','2012-2016','Male','83.4','8501','9593675'
'Pennsylvania','Lung and Bronchus','2012-2016','Male','74.8','27960','31256653'
'Rhode Island','Lung and Bronchus','2012-2016','Male','78','2256','2557251'
'South Carolina','Lung and Bronchus','2012-2016','Male','81.8','11034','11737413'
'Tennessee','Lung and Bronchus','2012-2016','Male','93.1','16434','15955320'
'West Virginia','Lung and Bronchus','2012-2016','Male','95.2','5651','4557674'
